Date,convexity,pnl
2011-06-15,,18790.0
2011-06-16,,18790.0
2011-06-17,,18790.0
2011-06-20,0.0408792340736,18790.0
2011-06-21,0.0444305105958,18690.0
2011-06-22,0.0621293352143,18980.0
2011-06-23,0.0363679624153,19330.0
2011-06-24,0.0293749088546,19480.0
2011-06-27,0.0528359710625,19420.0
2011-06-28,0.0577042147244,19480.0
2011-06-29,0.0630531154434,19320.0
2011-06-30,0.039460793547,19440.0
2011-07-01,0.0311950861861,19440.0
2011-07-05,0.0257300743076,19220.0
2011-07-06,0.020531199839,19040.0
2011-07-07,0.0239973004555,19110.0
2011-07-08,0.0154644758063,19330.0
2011-07-11,0.00293288853545,19400.0
2011-07-12,-0.00559932742119,19170.0
2011-07-13,,19170.0
2011-07-14,,19170.0
2011-07-15,,19170.0
2011-07-18,,19170.0
2011-07-19,-0.00242800996505,19170.0
2011-07-20,0.00230661808415,19130.0
2011-07-21,0.000717384284498,18890.0
2011-07-22,0.0197889882494,18750.0
2011-07-25,0.0400405674995,19040.0
2011-07-26,0.0467728154309,19050.0
2011-07-27,0.0366294516737,19280.0
2011-07-28,0.0296987772566,19240.0
2011-07-29,0.0231652216842,19260.0
2011-08-01,0.0209484887828,19260.0
2011-08-02,0.00665504522992,19200.0
2011-08-03,0.0147525282376,19220.0
2011-08-04,0.00314717524405,19300.0
2011-08-05,0.0156373263747,19400.0
2011-08-08,0.00498291680057,19470.0
2011-08-09,0.00639265924377,19350.0
2011-08-10,0.0225550831666,19180.0
2011-08-11,0.0185231335965,18970.0
2011-08-12,0.000524548916008,18970.0
2011-08-15,,18970.0
2011-08-16,,18970.0
2011-08-17,,18970.0
2011-08-18,,18970.0
2011-08-19,-0.0249544774537,18970.0
2011-08-22,-0.0546497364935,18760.0
2011-08-23,-0.0407976620303,18840.0
2011-08-24,-0.0196301921738,19020.0
2011-08-25,-0.0334819396947,18940.0
2011-08-26,-0.0259287417706,18820.0
2011-08-29,-0.0192196626715,18570.0
2011-08-30,-0.00647152517468,18480.0
2011-08-31,0.0799960003,18450.0
2011-09-01,0.04799760018,18450.0
2011-09-02,0.04732002006,18500.0
2011-09-06,0.0446425547011,18550.0
2011-09-07,0.0339019636565,18280.0
2011-09-08,0.0198059299365,18110.0
2011-09-09,0.0125802195552,18230.0
2011-09-12,-0.00748375172317,17910.0
2011-09-13,,17910.0
2011-09-14,,17910.0
2011-09-15,,17910.0
2011-09-16,,17910.0
2011-09-19,-0.0176529494473,17910.0
2011-09-20,-0.0128504072139,18000.0
2011-09-21,-0.00798213664017,18060.0
2011-09-22,-0.0227842924426,17970.0
2011-09-23,-0.0215340943628,18160.0
2011-09-26,-0.0127627194047,17960.0
2011-09-27,0.0124996484523,17840.0
2011-09-28,-0.0112714918334,18040.0
2011-09-29,-0.0156794360753,17770.0
2011-09-30,-0.0434642798108,17520.0
2011-10-03,-0.0189588532913,17520.0
2011-10-04,-0.0251375234286,17540.0
2011-10-05,-0.0153656708438,17230.0
2011-10-06,-0.0102763045422,17220.0
2011-10-07,0.00513819399332,16950.0
2011-10-10,0.0185853210765,16900.0
2011-10-11,0.0237233043151,17220.0
2011-10-12,0.0215444505043,17240.0
2011-10-13,,17240.0
2011-10-14,,17240.0
2011-10-17,,17240.0
2011-10-18,,17240.0
2011-10-19,0.0435819525553,17240.0
2011-10-20,0.0146535368015,17350.0
2011-10-21,0.00095237706513,17110.0
2011-10-24,0.0118505437925,16020.0
2011-10-25,0.0187006324105,15370.0
2011-10-26,0.036677414867,16360.0
2011-10-27,-0.0114825817022,16020.0
2011-10-28,0.0122726816306,16250.0
2011-10-31,0.00593070712252,16190.0
2011-11-01,-0.00326226429838,16190.0
2011-11-02,-0.0152621510643,16190.0
2011-11-03,-0.0181637430758,16160.0
2011-11-04,0.00678687211356,16480.0
2011-11-07,-0.00160655659989,16600.0
2011-11-08,0.0129179987648,16440.0
2011-11-09,0.0124097589842,16290.0
2011-11-10,0.0096392633094,16220.0
2011-11-11,,16220.0
2011-11-14,,16220.0
2011-11-15,,16220.0
2011-11-16,,16220.0
2011-11-17,0.0645993806507,16220.0
2011-11-18,0.0281060344744,16380.0
2011-11-21,0.0634199048627,16670.0
2011-11-22,0.0938307502416,17050.0
2011-11-23,0.0889820086285,17190.0
2011-11-25,0.13836579824,16620.0
2011-11-28,0.133300863272,16560.0
2011-11-29,0.159664178676,16280.0
2011-11-30,0.146504259508,16440.0
2011-12-01,0.103756063271,16440.0
2011-12-02,0.12058525068,16370.0
2011-12-05,0.114878039289,16490.0
2011-12-06,0.126048778821,16560.0
2011-12-07,0.110585155341,16780.0
2011-12-08,0.0801457563576,17010.0
2011-12-09,0.0944876799688,16740.0
2011-12-12,0.0840482668889,16970.0
2011-12-13,,16970.0
2011-12-14,,16970.0
2011-12-15,,16970.0
2011-12-16,,16970.0
2011-12-19,0.154275952202,16970.0
2011-12-20,0.168004304159,16790.0
2011-12-21,0.164649031589,16800.0
2011-12-22,0.181557007721,16690.0
2011-12-23,0.173333333333,16640.0
2011-12-27,0.173596437129,16520.0
2011-12-28,0.149495442889,16870.0
2011-12-29,0.13754347388,17000.0
2011-12-30,0.112126458951,17190.0
2012-01-03,0.131033332878,17190.0
2012-01-04,0.108032972849,17490.0
2012-01-05,0.0846326277705,17670.0
2012-01-06,0.0783985888381,17900.0
2012-01-09,0.0617651892524,18010.0
2012-01-10,0.058965953961,17770.0
2012-01-11,0.0525322797798,17940.0
2012-01-12,,17940.0
2012-01-13,,17940.0
2012-01-17,,17940.0
2012-01-18,,17940.0
2012-01-19,0.118841908121,17940.0
2012-01-20,0.112862493089,18250.0
2012-01-23,0.10413048228,18070.0
2012-01-24,0.103062305162,18340.0
2012-01-25,0.107818357842,18230.0
2012-01-26,0.111306669816,18300.0
2012-01-27,0.124595175768,18280.0
